iteration,file,triples,loadTime,query1,query2
0,../data/edm_data00.nt,10000000,76.29,0.02,0.02
0,../data/edm_data01.nt,10000000,78.27,0.02,0.02
0,../data/edm_data02.nt,10000000,82.22,0.04,0.02
0,../data/edm_data03.nt,10000000,77.45,0.03,0.02
0,../data/edm_data04.nt,10000000,79.61,0.05,0.02
0,../data/edm_data05.nt,10000000,81.43,0.03,0.02
0,../data/edm_data06.nt,10000000,82.52,0.03,0.02
0,../data/edm_data07.nt,10000000,85.79,0.03,0.02
0,../data/edm_data08.nt,10000000,97.61,0.08,0.02
0,../data/edm_data09.nt,10000000,87.22,0.03,0.02
0,../data/edm_data10.nt,10000000,102.68,0.03,0.02
0,../data/edm_data11.nt,10000000,90.26,0.05,0.02
0,../data/edm_data12.nt,10000000,83.39,0.53,0.02
0,../data/edm_data13.nt,10000000,82.32,0.72,0.09
0,../data/edm_data14.nt,10000000,86.81,0.49,0.06
0,../data/edm_data15.nt,10000000,127.98,0.75,1.06
0,../data/edm_data16.nt,10000000,115.9,0.15,0.02
0,../data/edm_data17.nt,10000000,88.87,0.63,0.1
0,../data/edm_data18.nt,10000000,96.47,0.84,0.02
0,../data/edm_data19.nt,10000000,108.46,1.46,0.04
0,../data/edm_data20.nt,10000000,132.68,0.18,0.06
0,../data/edm_data21.nt,10000000,108.09,0.24,0.21
0,../data/edm_data22.nt,10000000,112.58,0.04,0.69
0,../data/edm_data23.nt,10000000,115.53,0.64,0.16
0,../data/edm_data24.nt,10000000,133.6,1.12,0.07
0,../data/edm_data25.nt,10000000,127.34,0.51,0.11
0,../data/edm_data26.nt,10000000,114.36,0.56,0.23
0,../data/edm_data27.nt,10000000,118.38,0.91,0.02
0,../data/edm_data28.nt,10000000,203.55,0.26,0.15
0,../data/edm_data29.nt,10000000,231.43,1.88,0.02
0,../data/edm_data30.nt,10000000,208.86,0.63,0.24
0,../data/edm_data31.nt,10000000,162.18,2.73,0.03
0,../data/edm_data32.nt,10000000,336.08,1.05,0.17
0,../data/edm_data33.nt,10000000,403.81,1.38,0.04
0,../data/edm_data34.nt,10000000,319.5,2.54,0.27
0,../data/edm_data35.nt,10000000,303.34,0.77,0.14
0,../data/edm_data36.nt,10000000,323.25,2.94,0.19
0,../data/edm_data37.nt,10000000,371.91,1.21,0.05
0,../data/edm_data38.nt,2629063,129.54,1.9,0.26
1,../data/edm_data00.nt,10000000,78.36,0.02,0.02
1,../data/edm_data01.nt,10000000,78.38,0.02,0.02
1,../data/edm_data02.nt,10000000,76.99,0.03,0.02
1,../data/edm_data03.nt,10000000,78.76,0.02,0.02
1,../data/edm_data04.nt,10000000,81.12,0.05,0.02
1,../data/edm_data05.nt,10000000,79.85,0.03,0.02
1,../data/edm_data06.nt,10000000,84.76,0.03,0.02
1,../data/edm_data07.nt,10000000,88.87,0.02,0.02
1,../data/edm_data08.nt,10000000,99.34,0.08,0.02
1,../data/edm_data09.nt,10000000,101.16,0.09,0.02
1,../data/edm_data10.nt,10000000,90.47,0.02,0.03
1,../data/edm_data11.nt,10000000,93.86,0.07,0.02
1,../data/edm_data12.nt,10000000,99.44,0.06,0.02
1,../data/edm_data13.nt,10000000,88.95,0.3,0.14
1,../data/edm_data14.nt,10000000,89.87,0.43,0.92
1,../data/edm_data15.nt,10000000,156.61,0.82,0.02
1,../data/edm_data16.nt,10000000,120.39,0.55,0.06
1,../data/edm_data17.nt,10000000,93.66,0.51,0.11
1,../data/edm_data18.nt,10000000,103.33,0.5,0.27
1,../data/edm_data19.nt,10000000,135.32,0.74,0.03
1,../data/edm_data20.nt,10000000,144.58,0.16,0.29
1,../data/edm_data21.nt,10000000,120.4,0.06,0.02
1,../data/edm_data22.nt,10000000,115.54,0.05,0.02
1,../data/edm_data23.nt,10000000,124.04,0.72,0.33
1,../data/edm_data24.nt,10000000,135.52,0.47,0.31
1,../data/edm_data25.nt,10000000,130.48,2.41,0.09
1,../data/edm_data26.nt,10000000,120.55,1.26,0.13
1,../data/edm_data27.nt,10000000,130.0,1.41,0.12
1,../data/edm_data28.nt,10000000,193.49,0.5,0.02
1,../data/edm_data29.nt,10000000,160.94,1.24,0.3
1,../data/edm_data30.nt,10000000,144.76,1.86,0.14
1,../data/edm_data31.nt,10000000,230.79,2.89,0.03
1,../data/edm_data32.nt,10000000,334.14,0.9,0.04
1,../data/edm_data33.nt,10000000,421.33,0.61,0.04
