iteration,file,triples,loadTime,query1,query2
0,../data/edm_data00.nt,10000000,2473.41,2.35,1.89
0,../data/edm_data01.nt,10000000,4913.05,2.45,1.94
0,../data/edm_data02.nt,10000000,6563.76,1.95,1.85
1,../data/edm_data00.nt,10000000,2592.01,2.07,1.87
1,../data/edm_data01.nt,10000000,4888.12,2.16,1.98
1,../data/edm_data02.nt,10000000,6527.63,1.9,1.85
2,../data/edm_data00.nt,10000000,2333.58,1.95,1.84
2,../data/edm_data01.nt,10000000,3432.99,2.02,1.88
2,../data/edm_data02.nt,10000000,4823.97,1.9,1.83
2,../data/edm_data03.nt,10000000,5832.77,3.33,1.95
2,../data/edm_data04.nt,10000000,6313.95,1.9,1.89
2,../data/edm_data05.nt,10000000,6850.26,2.1,1.89
