iteration,file,triples,loadTime,query1,query2
0,../data/edm_data00.nt,10000000,265.39,2.03,2.21
0,../data/edm_data01.nt,10000000,283.07,2.1,2.04
0,../data/edm_data02.nt,10000000,279.97,2.07,2.04
0,../data/edm_data03.nt,10000000,291.91,2.04,2.08
0,../data/edm_data04.nt,10000000,283.31,2.09,2.06
0,../data/edm_data05.nt,10000000,291.74,2.09,2.13
0,../data/edm_data06.nt,10000000,310.22,2.07,2.05
0,../data/edm_data07.nt,10000000,312.46,2.18,2.23
0,../data/edm_data08.nt,10000000,30.56,2.05,1.98
0,../data/edm_data09.nt,10000000,300.46,2.04,2.13
0,../data/edm_data10.nt,10000000,309.34,2.17,2.09
0,../data/edm_data11.nt,10000000,226.8,2.1,2.09
0,../data/edm_data12.nt,10000000,303.63,2.08,2.06
0,../data/edm_data13.nt,10000000,299.81,2.1,2.09
0,../data/edm_data14.nt,10000000,306.67,2.09,2.04
0,../data/edm_data15.nt,10000000,319.38,2.15,2.06
0,../data/edm_data16.nt,10000000,280.1,2.17,2.05
0,../data/edm_data17.nt,10000000,287.95,2.11,2.05
0,../data/edm_data18.nt,10000000,294.09,2.11,2.2
0,../data/edm_data19.nt,10000000,322.22,2.09,2.08
0,../data/edm_data20.nt,10000000,345.29,2.13,2.1
0,../data/edm_data21.nt,10000000,336.55,2.27,2.1
0,../data/edm_data22.nt,10000000,326.98,2.1,2.06
0,../data/edm_data23.nt,10000000,323.01,2.14,2.4
0,../data/edm_data24.nt,10000000,346.58,2.09,2.05
0,../data/edm_data25.nt,10000000,45.06,2.03,2.05
0,../data/edm_data26.nt,10000000,332.21,2.3,2.04
0,../data/edm_data27.nt,10000000,334.73,2.14,2.09
0,../data/edm_data28.nt,10000000,373.37,2.13,2.14
0,../data/edm_data29.nt,10000000,52.83,2.09,2.08
0,../data/edm_data30.nt,10000000,344.31,2.13,2.19
0,../data/edm_data31.nt,10000000,326.32,2.49,2.05
0,../data/edm_data32.nt,10000000,330.04,2.11,2.09
0,../data/edm_data33.nt,10000000,385.66,2.2,2.03
