iteration,file,triples,loadTime,query1,query2
0,../data/edm_data00.nt,10000000,651.21,0.32,0.01
0,../data/edm_data01.nt,10000000,659.4,0.23,0.01
0,../data/edm_data02.nt,10000000,698.91,0.35,0.01
0,../data/edm_data03.nt,10000000,689.1,0.44,0.01
0,../data/edm_data04.nt,10000000,730.22,0.68,0.01
0,../data/edm_data05.nt,10000000,693.87,0.68,0.01
0,../data/edm_data06.nt,10000000,757.58,0.09,0.01
0,../data/edm_data07.nt,10000000,795.93,0.61,0.01
0,../data/edm_data08.nt,10000000,807.42,0.02,0.01
0,../data/edm_data09.nt,10000000,852.92,0.61,0.01
0,../data/edm_data10.nt,10000000,796.31,0.08,0.01
0,../data/edm_data11.nt,10000000,773.46,0.79,0.01
0,../data/edm_data12.nt,10000000,775.71,0.03,0.01
0,../data/edm_data13.nt,10000000,865.29,0.12,0.03
0,../data/edm_data14.nt,10000000,748.99,1.32,0.03
0,../data/edm_data15.nt,10000000,490.72,0.18,0.05
0,../data/edm_data16.nt,10000000,670.11,0.04,0.09
0,../data/edm_data17.nt,10000000,672.92,0.15,0.09
0,../data/edm_data18.nt,10000000,862.73,1.13,0.09
0,../data/edm_data19.nt,10000000,720.52,0.15,0.11
0,../data/edm_data20.nt,10000000,756.7,0.07,0.09
0,../data/edm_data21.nt,10000000,758.57,0.02,0.16
0,../data/edm_data22.nt,10000000,871.45,1.1,0.09
0,../data/edm_data23.nt,10000000,738.38,0.13,0.08
0,../data/edm_data24.nt,10000000,765.6,0.11,0.22
0,../data/edm_data25.nt,10000000,754.27,0.13,0.1
0,../data/edm_data26.nt,10000000,759.34,0.03,0.2
0,../data/edm_data27.nt,10000000,177.81,0.12,0.02
0,../data/edm_data28.nt,10000000,765.87,1.42,0.17
0,../data/edm_data29.nt,10000000,719.18,0.04,0.22
0,../data/edm_data30.nt,10000000,790.79,0.05,0.1
0,../data/edm_data31.nt,10000000,732.28,0.25,0.2
0,../data/edm_data32.nt,10000000,855.88,0.22,0.17
0,../data/edm_data33.nt,10000000,772.06,0.03,0.18
0,../data/edm_data34.nt,10000000,759.83,1.62,0.18
0,../data/edm_data35.nt,10000000,748.22,0.2,0.17
0,../data/edm_data36.nt,10000000,887.67,0.2,0.17
0,../data/edm_data37.nt,10000000,766.19,0.14,0.12
0,../data/edm_data38.nt,2629063,198.35,0.02,0.12
1,../data/edm_data00.nt,10000000,594.81,0.14,0.03
1,../data/edm_data01.nt,10000000,601.61,0.95,0.03
1,../data/edm_data02.nt,10000000,627.51,0.89,0.04
1,../data/edm_data03.nt,10000000,652.14,1.01,0.03
1,../data/edm_data04.nt,10000000,594.55,1.11,0.05
1,../data/edm_data05.nt,10000000,663.18,1.12,0.04
1,../data/edm_data06.nt,10000000,616.49,1.13,0.06
1,../data/edm_data07.nt,10000000,635.37,1.16,0.03
1,../data/edm_data08.nt,10000000,607.51,1.16,0.05
1,../data/edm_data09.nt,10000000,616.04,10.52,0.03
1,../data/edm_data10.nt,10000000,695.21,0.07,0.02
1,../data/edm_data11.nt,10000000,613.46,0.08,0.03
1,../data/edm_data12.nt,10000000,654.15,1.4,0.02
1,../data/edm_data13.nt,10000000,633.48,0.09,0.03
1,../data/edm_data14.nt,10000000,607.82,0.13,0.02
1,../data/edm_data15.nt,10000000,478.83,1.5,0.02
1,../data/edm_data16.nt,10000000,690.42,0.11,0.03
1,../data/edm_data17.nt,10000000,612.68,1.56,0.02
1,../data/edm_data18.nt,10000000,597.72,0.1,0.03
1,../data/edm_data19.nt,10000000,595.52,0.17,0.04
1,../data/edm_data20.nt,10000000,735.93,1.46,0.02
1,../data/edm_data21.nt,10000000,603.7,0.03,0.05
1,../data/edm_data22.nt,10000000,633.46,0.05,0.03
1,../data/edm_data23.nt,10000000,586.37,0.14,0.04
1,../data/edm_data24.nt,10000000,618.75,0.16,0.04
1,../data/edm_data25.nt,10000000,633.92,1.47,0.03
1,../data/edm_data26.nt,10000000,647.65,0.13,0.06
1,../data/edm_data27.nt,10000000,747.21,0.04,0.06
1,../data/edm_data28.nt,10000000,679.86,0.12,0.04
1,../data/edm_data29.nt,10000000,613.25,0.23,0.04
1,../data/edm_data30.nt,10000000,608.66,0.23,0.03
1,../data/edm_data31.nt,10000000,685.73,1.8,0.11
1,../data/edm_data32.nt,10000000,619.58,0.05,0.1
1,../data/edm_data33.nt,10000000,649.59,1.73,0.04
1,../data/edm_data34.nt,10000000,658.67,0.2,0.13
1,../data/edm_data35.nt,10000000,622.62,0.17,0.07
1,../data/edm_data36.nt,10000000,726.62,0.2,0.18
1,../data/edm_data37.nt,10000000,620.8,1.87,0.1
1,../data/edm_data38.nt,2629063,171.63,0.14,0.11
2,../data/edm_data00.nt,10000000,579.87,0.12,0.02
2,../data/edm_data01.nt,10000000,592.5,0.34,0.04
2,../data/edm_data02.nt,10000000,619.88,0.58,0.03
2,../data/edm_data03.nt,10000000,651.22,0.96,0.04
2,../data/edm_data04.nt,10000000,592.78,1.15,0.04
2,../data/edm_data05.nt,10000000,669.51,1.17,0.04
2,../data/edm_data06.nt,10000000,629.11,1.15,0.02
2,../data/edm_data07.nt,10000000,616.6,1.23,0.15
2,../data/edm_data08.nt,10000000,596.25,1.19,0.03
2,../data/edm_data09.nt,10000000,616.62,1.23,0.03
2,../data/edm_data10.nt,10000000,689.97,1.35,0.04
2,../data/edm_data11.nt,10000000,598.52,1.32,0.02
2,../data/edm_data12.nt,10000000,641.56,1.3,0.03
2,../data/edm_data13.nt,10000000,628.59,1.48,0.03
2,../data/edm_data14.nt,10000000,607.82,1.51,0.03
2,../data/edm_data15.nt,10000000,497.88,0.08,0.04
2,../data/edm_data16.nt,10000000,698.61,1.5,0.26
2,../data/edm_data17.nt,10000000,594.43,1.56,0.04
2,../data/edm_data18.nt,10000000,600.52,1.48,0.03
2,../data/edm_data19.nt,10000000,593.81,1.55,0.04
2,../data/edm_data20.nt,10000000,713.94,1.75,0.06
2,../data/edm_data21.nt,10000000,631.81,0.15,0.11
2,../data/edm_data22.nt,10000000,619.6,11.0,0.05
2,../data/edm_data23.nt,10000000,607.32,1.56,0.13
2,../data/edm_data24.nt,10000000,599.88,1.66,0.06
2,../data/edm_data25.nt,10000000,774.25,1.63,0.11
2,../data/edm_data26.nt,10000000,641.27,1.68,0.05
2,../data/edm_data27.nt,10000000,614.32,1.67,0.13
2,../data/edm_data28.nt,10000000,626.91,1.59,0.14
2,../data/edm_data29.nt,10000000,602.24,1.93,0.16
2,../data/edm_data30.nt,10000000,696.42,1.85,0.13
2,../data/edm_data31.nt,10000000,632.53,1.74,0.15
2,../data/edm_data32.nt,10000000,594.32,1.58,0.17
2,../data/edm_data33.nt,10000000,629.56,1.63,0.13
2,../data/edm_data34.nt,10000000,635.92,1.5,0.14
2,../data/edm_data35.nt,10000000,714.67,0.19,0.17
2,../data/edm_data36.nt,10000000,649.33,1.56,0.16
2,../data/edm_data37.nt,10000000,596.13,1.72,0.17
2,../data/edm_data38.nt,2629063,177.62,0.09,0.15
